"id" "day" "Dose" "LOGTV"
"364" 22 2 0 5.78099321290213
"365" 22 5 0 6.18060022390888
"366" 22 7 0 6.13141548967439
"367" 22 9 0 6.56293859835206
"368" 22 12 0 6.68876082432312
"369" 22 14 0 6.68876082432312
"370" 22 16 0 6.97796507571542
"371" 22 20 0 7.01309548702757
"372" 22 23 0 7.01309548702757
"373" 22 26 0 7.72848159516303
"374" 22 28 0 7.79590867695643
"375" 23 -14 3 2.90876386992421
"376" 23 -12 3 3.28573551234557
"377" 23 -9 3 3.83732268253355
"378" 23 -6 3 3.71725862102324
"379" 23 -2 3 4.23971866242556
"380" 23 0 3 4.44552034469579
"381" 23 2 3 4.87704345337346
"382" 23 5 3 5.27943943326548
"383" 23 7 3 5.48524111553571
"384" 23 9 3 6.05447554809307
"385" 23 12 3 6.15620944260121
"386" 23 14 3 6.50560677912177
"387" 23 16 3 6.57228442297802
"388" 23 20 3 6.85967721334694
"389" 23 23 3 7.12028393300079
"390" 23 26 3 7.41834822196618
"391" 23 28 3 7.54532754996168
"392" 24 -14 3 2.54702078469888
"393" 24 -12 3 2.54702078469888
"394" 24 -9 3 2.79760191169363
"395" 24 -6 3 3.83732268253355
"396" 24 -2 3 3.94848464076413
"397" 24 0 3 4.00112162048103
"398" 24 2 3 4.96117765335003
"399" 24 5 3 5.27943943326548
"400" 24 7 3 4.52053597555778
"401" 24 9 3 5.04084239132095
"402" 24 12 3 5.48524111553571
"403" 24 14 3 5.97337471618765
"404" 24 16 3 6.28570156783395
"405" 24 20 3 6.87498346860831
"406" 24 23 3 7.18358446473635
"407" 24 26 3 7.15226808720402
"408" 24 28 3 7.3310508631017
"409" 25 -14 3 3.10906095886099
"410" 25 -12 3 3.36683634425098
"411" 25 -9 3 3.65341919939505
"412" 25 -6 3 4.55668230292637
"413" 25 -2 3 5.01475477725315
"414" 25 0 3 5.27943943326548
"415" 25 2 3 5.46588600828185
"416" 25 5 3 6.00089842418995
"417" 25 7 3 5.42641004580579
"418" 25 9 3 6.13141548967439
"419" 25 12 3 5.8122443432564
"420" 25 14 3 6.10620481219982
"421" 25 16 3 6.34105840323713
"422" 25 20 3 6.59997751723762
"423" 25 23 3 6.7725815119148
"424" 25 26 3 6.92735786626765
"425" 25 28 3 6.98505728750934
"426" 26 -14 3 2.79760191169363
"427" 26 -12 3 2.79760191169363
"428" 26 -9 3 3.51696153208646
"429" 26 -6 3 4.62646232637871
"430" 26 -2 3 5.09169471883447
"431" 26 0 3 5.21175878034478
"432" 26 2 3 5.0664840413599
"433" 26 5 3 5.6141547602368
"434" 26 7 3 5.44627788593082
"435" 26 9 3 5.79670016270308
"436" 26 12 3 6.00089842418995
"437" 26 14 3 6.41527848913218
"438" 26 16 3 6.71440247436207
"439" 26 20 3 7.14592558303974
"440" 26 23 3 7.51581840156363
"441" 26 26 3 7.6980015914266
"442" 26 28 3 7.66239161047199
"443" 27 -14 3 2.67753785018332
"444" 27 -12 3 2.67753785018332
"445" 27 -9 3 2.90876386992421
"446" 27 -6 3 3.51696153208646
"447" 27 -2 3 4.28319996773544
"448" 27 0 3 4.36655474446766
"449" 27 2 3 4.72539927806641
"450" 27 5 3 5.36517705402541
"451" 27 7 3 5.16487996508862
"452" 27 9 3 5.18850250054083
"453" 27 12 3 5.6141547602368
"454" 27 14 3 5.76512004890633
"455" 27 16 3 5.93111840073761
"456" 27 20 3 6.15620944260121
"457" 27 23 3 6.38391846190321
"458" 27 26 3 6.92735786626765
"459" 27 28 3 6.68011526724799
